tag,branch,P,H,seed,iters,stage,lossless,order_opt,runtime_s,lamT,lamCo,sha256_rho,F,Faf,T,co,Rtot,A,Rcross,abs_rx,abs_ry,dphi_deg,phase_err_deg,offdiag,n_islands,min_si_nm,min_gap_nm,edge_clear_nm,fill
FULL_P278_H230_rand31,FULL,278.0,230.0,rand31,110,device_full,False,7,202.35956072807312,40.0,40.0,6832e6d0c8efb9780f41c4859903a558ceb2663aa1694cb7c34f5c2585b3be97,0.10807819664478302,0.1346452236175537,0.14373327791690826,0.1388891637325287,0.275661826133728,0.5806049108505249,0.13677261769771576,0.26404157280921936,0.6513192653656006,280.3207702636719,100.32077026367188,0.3387887477874756,1,124.52083333333334,2.8958333333333335,0.03600765718519483,0.4164496527777778
FULL_P278_H230_multi13,FULL,278.0,230.0,multi13,110,device_full,False,7,191.37499523162842,5.120000000000001,3.2,e697658bc2b75b50b1a054bf31e1ac37ad40c279514809c8abea0bf51813b20e,0.4288521111011505,0.5558425188064575,0.0056308782659471035,0.000916469725780189,0.5575265884399414,0.43684253096580505,0.556610107421875,0.6495957374572754,0.6614851355552673,185.19085693359375,5.19085693359375,0.7148650288581848,1,72.39583333333334,2.8958333333333335,1.123134092103328,0.3063151041666667
FULL_P272_H230_rand31,FULL,272.0,230.0,rand31,110,device_full,False,7,188.6374750137329,40.0,40.0,fc6ffc891114d8b9eb788e4d6021140a870434df55a7fec15c524c314c756047,0.1079934686422348,0.10800459235906601,0.1933879256248474,0.20912663638591766,0.31811243295669556,0.48849964141845703,0.1089857667684555,0.5199439525604248,0.6032400131225586,288.8104553222656,108.81045532226562,0.06300151348114014,1,189.83333333333334,2.8333333333333335,0.17568999208440061,0.4569227430555556
FULL_P272_H230_multi13,FULL,272.0,230.0,multi13,110,device_full,False,7,193.3641767501831,3.2,3.2,72fa0107da8b762ea0338c8bc13818cd6087fa4e37ed8052d39c1635e98c0f09,0.5534385442733765,0.5550690293312073,0.02122744545340538,0.007706495933234692,0.5628163814544678,0.41595616936683655,0.5551097989082336,0.7166561484336853,0.7801886200904846,192.5666961669922,12.566696166992188,0.08176125586032867,1,82.16666666666667,2.8333333333333335,1.109482814064421,0.3401692708333333
FULL_P278_H200_rand31,FULL,278.0,200.0,rand31,110,device_full,False,7,186.59044981002808,3.2,5.120000000000001,caf49998f33cda6da8ad2f4739ad65b7a033e99bc1198a6001ae07b73e71bb49,0.49769526720046997,0.5083581209182739,0.02055218257009983,0.005620535463094711,0.5144225358963013,0.46502527594566345,0.5088018774986267,0.6308565139770508,0.780161440372467,181.12612915039062,1.126129150390625,0.21077606081962585,1,112.9375,66.60416666666667,4.023699352689306,0.3330078125
FULL_P278_H200_multi13,FULL,278.0,200.0,multi13,110,device_full,False,7,182.80341696739197,2.0,3.2,77ef051109b5cc554591aa37cdbc9d7e04b70cc7af4f12b55eb66b73704ef17e,0.5479715466499329,0.5561116933822632,0.012584922835230827,0.011654912494122982,0.5678975582122803,0.41951751708984375,0.5562425851821899,0.6724444627761841,0.8167445063591003,167.5579833984375,12.4420166015625,0.18188996613025665,3,2.8958333333333335,2.8958333333333335,1.1231340921032995,0.3153211805555556
FULL_P272_H200_rand31,FULL,272.0,200.0,rand31,110,device_full,False,7,184.69485235214233,3.2,3.2,9c0082036282067727c0ac2115f7aa8536a2f8bf28bc3d17c98707d8b62c5a3d,0.5226373672485352,0.5226431488990784,0.004635488148778677,0.005836194381117821,0.5284892320632935,0.466875284910202,0.5226529240608215,0.7966716885566711,0.6498165726661682,-176.6414337158203,3.3585662841796875,0.00788817834109068,1,93.5,2.8333333333333335,0.37517990802130896,0.3224826388888889
FULL_P272_H200_multi13,FULL,272.0,200.0,multi13,110,device_full,False,7,188.4824297428131,3.2,8.192000000000002,ab3afc05b842ccd47638e560166bd57c307f76c0d0ea3e6284c89d3e5cf4192b,0.5092028379440308,0.5121452212333679,0.051996972411870956,0.022493965923786163,0.534644603729248,0.4133584201335907,0.5121505260467529,0.6624637246131897,0.790275514125824,158.3833770751953,21.616622924804688,0.10858726501464844,3,8.5,2.8333333333333335,0.6416808026964844,0.3049045138888889
FULL_P264_H230_rand31,FULL,264.0,230.0,rand31,110,device_full,False,7,193.11170649528503,40.0,40.0,0bea7fff65417886648e0a7448c465208d03f57aec17e8e0e938ea96844294c3,0.07064852863550186,0.07064948230981827,0.18521365523338318,0.22957384586334229,0.30082178115844727,0.5139645338058472,0.07124795019626617,0.5095112323760986,0.5838176012039185,302.2945556640625,122.2945556640625,0.048966746777296066,1,189.75,2.75,0.052228537692940336,0.4817708333333333
FULL_P264_H230_multi13,FULL,264.0,230.0,multi13,110,device_full,False,7,193.05052018165588,13.107200000000004,13.107200000000004,b4bb74ae7e2ed3810b5b25c796c570c52fcea0f54803ca6037ce0d60cc6f11ab,0.46423253417015076,0.4682891070842743,0.03507719561457634,0.009205151349306107,0.47794950008392334,0.4869733154773712,0.46874427795410156,0.7266355156898499,0.6472066044807434,194.6337890625,14.6337890625,0.1343391388654709,4,8.25,2.75,1.2220606073851457,0.3561197916666667
FULL_P278_H170_rand31,FULL,278.0,170.0,rand31,110,device_full,False,7,176.98889136314392,2.0,2.0,dd9e9803d14e56b9e8629f288c2d0985b4a2df0f2f5524514a03962eb3090401,0.5234739780426025,0.5250551104545593,0.00814496073871851,0.015105927363038063,0.5401695966720581,0.45168542861938477,0.5250635743141174,0.6078773140907288,0.841216504573822,173.80276489257812,6.197235107421875,0.07973920553922653,1,141.89583333333334,2.8958333333333335,1.1231340921032995,0.4309895833333333
FULL_P278_H170_multi13,FULL,278.0,170.0,multi13,110,device_full,False,7,178.4011390209198,2.0,2.0,3c3d00691be06e6d27a459568deb7411ab2a32ff4722fe8615efb5dd11f20eb7,0.4918592572212219,0.539021909236908,0.021156614646315575,0.04072224348783493,0.5797741413116455,0.39906924962997437,0.5390517711639404,0.6057009696960449,0.8356371521949768,153.03929138183594,26.960708618164062,0.4344770312309265,2,26.0625,2.8958333333333335,0.9867178792265605,0.4072265625
FULL_P264_H200_rand31,FULL,264.0,200.0,rand31,110,device_full,False,7,191.77979469299316,3.2,3.2,9eb481c766ccc5913e568c7df0187796a37b68618a65e85e11e5d9c1e7b4f4ed,0.4562089145183563,0.45703959465026855,0.03938344866037369,0.004196216817945242,0.46132874488830566,0.49928781390190125,0.4571324586868286,0.6829580664634705,0.6740760207176208,-190.93115234375,10.93115234375,0.060783758759498596,1,123.75,2.75,0.4408680111249339,0.3430989583333333
FULL_P264_H200_multi13,FULL,264.0,200.0,multi13,110,device_full,False,7,190.2677435874939,2.0,2.0,c505fdfcc201efabbdf74d447964013032ea3f9c2eb69a3527c227f55a185461,0.4094613790512085,0.5064710974693298,0.008535957895219326,0.011115233413875103,0.5175954103469849,0.47386863827705383,0.5064800977706909,0.569597601890564,0.7188266515731812,166.63076782226562,13.369232177734375,0.6229566931724548,1,112.75,2.75,1.2873980501691449,0.3249782986111111
FULL_P278_H260_rand31,FULL,278.0,260.0,rand31,110,device_full,False,7,197.66754865646362,40.0,40.0,1151c781b302220413a61932b8d1330942f605230fbc2f5727cacefad1383cf4,0.07539451867341995,0.0837477445602417,0.22006727755069733,0.09001881629228592,0.17404931783676147,0.6058834195137024,0.08403049409389496,0.45159780979156494,0.35621076822280884,275.2160339355469,95.21603393554688,0.18585991859436035,2,31.854166666666668,2.8958333333333335,0.03600765718519483,0.4594184027777778
FULL_P278_H260_multi13,FULL,278.0,260.0,multi13,110,device_full,False,7,198.0456531047821,8.192000000000002,13.107200000000004,e78ecdc7170af27f0eb64d98bc739831e191c962f92690747616d879cc7242b7,0.07331841439008713,0.1387333869934082,0.09760737419128418,0.039355549961328506,0.19766688346862793,0.7047257423400879,0.15831132233142853,0.42679476737976074,0.20783191919326782,-247.4872283935547,67.48722839355469,0.5830709338188171,1,124.52083333333334,2.8958333333333335,0.510447859556848,0.4165581597222222
